Frequency,src,in1,in2,in3,in4,in5,in6
10000.000000	0.100000,0.000000	-0.100796,0.000186	-0.000796,0.000186	-0.000000,-0.000000	-0.100796,0.000186	-0.000796,0.000186	0.000000,0.000000
11220.184543	0.100000,0.000000	-0.100615,0.000185	-0.000614,0.000185	-0.000000,0.000005	-0.100615,0.000180	-0.000614,0.000180	0.000000,0.000000
12589.254118	0.100000,0.000000	-0.100453,0.000204	-0.000452,0.000204	0.000018,0.000036	-0.100472,0.000168	-0.000471,0.000168	0.000000,0.000000
14125.375446	0.100000,0.000000	-0.100343,0.000161	-0.000343,0.000161	0.000014,0.000009	-0.100358,0.000152	-0.000358,0.000152	0.000000,0.000000
15848.931925	0.100000,0.000000	-0.100269,0.000133	-0.000268,0.000133	0.000000,-0.000001	-0.100270,0.000135	-0.000269,0.000135	0.000000,0.000000
17782.794100	0.100000,0.000000	-0.100186,0.000103	-0.000186,0.000103	0.000014,-0.000014	-0.100201,0.000117	-0.000200,0.000117	0.000000,0.000000
19952.623150	0.100000,0.000000	-0.100108,0.000096	-0.000108,0.000096	0.000039,-0.000004	-0.100147,0.000100	-0.000147,0.000100	0.000000,0.000000
22387.211386	0.100000,0.000000	-0.100071,0.000108	-0.000070,0.000108	0.000035,0.000024	-0.100107,0.000084	-0.000106,0.000084	0.000000,0.000000
25118.864315	0.100000,0.000000	-0.100109,0.000062	-0.000108,0.000062	-0.000032,-0.000007	-0.100076,0.000069	-0.000075,0.000069	0.000000,0.000000
28183.829313	0.100000,0.000000	-0.100052,0.000072	-0.000052,0.000072	0.000000,0.000016	-0.100053,0.000056	-0.000052,0.000056	0.000000,0.000000
31622.776602	0.100000,0.000000	-0.100013,0.000070	-0.000013,0.000070	0.000023,0.000025	-0.100036,0.000045	-0.000036,0.000045	0.000000,0.000000
35481.338923	0.100000,0.000000	-0.100003,0.000021	-0.000003,0.000021	0.000020,-0.000013	-0.100024,0.000035	-0.000023,0.000035	0.000000,0.000000
39810.717055	0.100000,0.000000	-0.100048,0.000021	-0.000047,0.000021	-0.000032,-0.000006	-0.100015,0.000027	-0.000015,0.000027	0.000000,0.000000
44668.359215	0.100000,0.000000	-0.100038,0.000005	-0.000038,0.000005	-0.000028,-0.000015	-0.100009,0.000021	-0.000009,0.000021	0.000000,0.000000
50118.723363	0.100000,0.000000	-0.099962,0.000063	0.000037,0.000063	0.000037,0.000033	-0.099999,0.000029	0.000000,0.000029	0.000000,0.000000
56234.132519	0.100000,0.000000	-0.100061,0.000038	-0.000061,0.000038	-0.000058,0.000026	-0.100003,0.000011	-0.000002,0.000011	0.000000,0.000000
63095.734448	0.100000,0.000000	-0.099990,-0.000090	0.000009,-0.000090	0.000010,-0.000098	-0.100001,0.000007	-0.000001,0.000007	0.000000,0.000000
70794.578438	0.100000,0.000000	-0.100060,0.000068	-0.000060,0.000068	-0.000060,0.000062	-0.099999,0.000005	0.000000,0.000005	0.000000,0.000000
79432.823472	0.100000,0.000000	-0.100108,0.000052	-0.000108,0.000052	-0.000109,0.000049	-0.099999,0.000002	0.000000,0.000002	0.000000,0.000000
89125.093813	0.100000,0.000000	-0.099988,0.000011	0.000011,0.000011	0.000010,0.000010	-0.099999,0.000001	0.000000,0.000001	0.000000,0.000000
100000.000000	0.100000,0.000000	-0.106734,-0.006956	-0.006740,-0.006959	-0.006739,-0.006960	-0.099994,0.000003	-0.000000,0.000000	0.000000,0.000000
