


Tue Nov 21 18:29:18 2023
FRA analyzer by Arief Noor Rahman
No	Freq	Mag[IN1](dB)	Ph[IN1](deg)	Mag[IN2](dB)	Ph[IN2](deg)	Mag[IN2-IN1](dB)	Ph[IN2-IN1](deg)	elapsed time
24	1412.53754	-inf	-0.0000000000e+00	-inf	-0.0000000000e+00	-nan	0.0000000000e+00	12.047
24	1412.53754	-inf	-0.0000000000e+00	-inf	-0.0000000000e+00	-nan	0.0000000000e+00	12.125
24	1412.53754	-inf	-0.0000000000e+00	-inf	-0.0000000000e+00	-nan	0.0000000000e+00	12.187
25	1584.89319	-inf	-0.0000000000e+00	-inf	-0.0000000000e+00	-nan	0.0000000000e+00	12.250
25	1584.89319	-inf	-0.0000000000e+00	-inf	-0.0000000000e+00	-nan	0.0000000000e+00	12.328
25	1584.89319	-inf	-0.0000000000e+00	-inf	-0.0000000000e+00	-nan	0.0000000000e+00	12.391
25	1584.89319	-inf	-0.0000000000e+00	-inf	-0.0000000000e+00	-nan	0.0000000000e+00	12.453
26	1778.27941	-inf	-0.0000000000e+00	-inf	-0.0000000000e+00	-nan	0.0000000000e+00	12.516
26	1778.27941	-inf	-0.0000000000e+00	-inf	-0.0000000000e+00	-nan	0.0000000000e+00	12.609
26	1778.27941	-inf	-0.0000000000e+00	-inf	-0.0000000000e+00	-nan	0.0000000000e+00	12.672
26	1778.27941	-inf	-0.0000000000e+00	-inf	-0.0000000000e+00	-nan	0.0000000000e+00	12.734
26	1778.27941	-inf	-0.0000000000e+00	-inf	-0.0000000000e+00	-nan	0.0000000000e+00	12.797
26	1778.27941	-inf	-0.0000000000e+00	-inf	-0.0000000000e+00	-nan	0.0000000000e+00	12.859
26	1778.27941	-inf	-0.0000000000e+00	-inf	-0.0000000000e+00	-nan	0.0000000000e+00	12.922
26	1778.27941	-inf	-0.0000000000e+00	-inf	-0.0000000000e+00	-nan	0.0000000000e+00	12.984
27	1995.26231	-inf	-0.0000000000e+00	-inf	-0.0000000000e+00	-nan	0.0000000000e+00	13.047
27	1995.26231	-inf	-0.0000000000e+00	-inf	-0.0000000000e+00	-nan	0.0000000000e+00	13.141
27	1995.26231	-inf	-0.0000000000e+00	-inf	-0.0000000000e+00	-nan	0.0000000000e+00	13.203
27	1995.26231	-inf	-0.0000000000e+00	-inf	-0.0000000000e+00	-nan	0.0000000000e+00	13.266
28	2238.72114	-inf	-0.0000000000e+00	-inf	-0.0000000000e+00	-nan	0.0000000000e+00	13.328
28	2238.72114	-inf	-0.0000000000e+00	-inf	-0.0000000000e+00	-nan	0.0000000000e+00	13.422
28	2238.72114	-inf	-0.0000000000e+00	-inf	-0.0000000000e+00	-nan	0.0000000000e+00	13.484
28	2238.72114	-inf	-0.0000000000e+00	-inf	-0.0000000000e+00	-nan	0.0000000000e+00	13.547
28	2238.72114	-inf	-0.0000000000e+00	-inf	-0.0000000000e+00	-nan	0.0000000000e+00	13.609
28	2238.72114	-inf	-0.0000000000e+00	-inf	-0.0000000000e+00	-nan	0.0000000000e+00	13.672
29	2511.88643	-inf	-0.0000000000e+00	-inf	-0.0000000000e+00	-nan	0.0000000000e+00	13.734
29	2511.88643	-inf	-0.0000000000e+00	-inf	-0.0000000000e+00	-nan	0.0000000000e+00	13.828
29	2511.88643	-inf	-0.0000000000e+00	-inf	-0.0000000000e+00	-nan	0.0000000000e+00	13.891
29	2511.88643	-inf	-0.0000000000e+00	-inf	-0.0000000000e+00	-nan	0.0000000000e+00	13.953
29	2511.88643	-inf	-0.0000000000e+00	-inf	-0.0000000000e+00	-nan	0.0000000000e+00	14.016
29	2511.88643	-inf	-0.0000000000e+00	-inf	-0.0000000000e+00	-nan	0.0000000000e+00	14.078
30	2818.38293	-inf	-0.0000000000e+00	-inf	-0.0000000000e+00	-nan	0.0000000000e+00	14.141
30	2818.38293	-inf	-0.0000000000e+00	-inf	-0.0000000000e+00	-nan	0.0000000000e+00	14.234
30	2818.38293	-inf	-0.0000000000e+00	-inf	-0.0000000000e+00	-nan	0.0000000000e+00	14.297
30	2818.38293	-inf	-0.0000000000e+00	-inf	-0.0000000000e+00	-nan	0.0000000000e+00	14.359
30	2818.38293	-inf	-0.0000000000e+00	-inf	-0.0000000000e+00	-nan	0.0000000000e+00	14.422
31	3162.27766	-inf	-0.0000000000e+00	-inf	-0.0000000000e+00	-nan	0.0000000000e+00	14.484
31	3162.27766	-inf	-0.0000000000e+00	-inf	-0.0000000000e+00	-nan	0.0000000000e+00	14.594
31	3162.27766	-inf	-0.0000000000e+00	-inf	-0.0000000000e+00	-nan	0.0000000000e+00	14.656
31	3162.27766	-inf	-0.0000000000e+00	-inf	-0.0000000000e+00	-nan	0.0000000000e+00	14.719
31	3162.27766	-inf	-0.0000000000e+00	-inf	-0.0000000000e+00	-nan	0.0000000000e+00	14.781
